I,P,Tgran,Theta,e_rest,kt,kt_is_default,label,mu,mu_g,n_samples,seed,tau
0.0007174775868421052,1.9426681245614035,0.006,0.0008911836675438596,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.006_s2,0.09264866284210527,0.03,57,2,-0.18003153824561405
0.0007109126901754386,1.9788430122807017,0.006,0.0008764620531578946,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.006_s3,0.12280026307017544,0.03,57,3,-0.243136758245614
0.000704270659122807,2.0163095754385965,0.015,0.0024999201736842103,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.015_s1,0.0978288675614035,0.03,57,1,-0.1972630356140351
0.0007077300112280701,1.9966493719298246,0.015,0.0025117867614035086,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.015_s2,0.0839612567368421,0.03,57,2,-0.1676917106491228
0.0007109590596491228,1.9786889122807019,0.015,0.002521717550877193,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.015_s3,0.09110516580701754,0.03,57,3,-0.18024575807017543
0.0007143630692982456,1.9597208719298245,0.0005,0.0001417252252631579,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.0005_s1,0.11415579947368422,0.0,57,1,-0.22373105771929824
0.0007054664470175439,2.009544692982456,0.0005,0.00013459028456140352,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.0005_s2,0.1047900012982456,0.0,57,2,-0.21067090508771927
0.000711232118245614,1.9769519245614036,0.0005,0.00014278820824561406,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.0005_s3,0.11381786563157895,0.0,57,3,-0.22508950210526313
0.0007104557980701754,1.981261836842105,0.002,0.00041450022614035085,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.002_s1,0.10286638078947369,0.0,57,1,-0.20377678368421054
0.0007064671285964912,2.0038387228070174,0.002,0.0004079389482456141,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.002_s2,0.10169982542105263,0.0,57,2,-0.2038133040350877
0.000708004458245614,1.9950052385964911,0.002,0.0003994642629824562,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.002_s3,0.10796443342105264,0.0,57,3,-0.21541123929824557
0.0007076881554385965,1.9968637982456139,0.006,0.0011744942578947367,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.006_s1,0.0901161223508772,0.0,57,1,-0.17999064807017545
