mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,P
0.3,0.003,2,0.2634580540878114,0.19915810372302772,0.29038921898977754,0.03736878047507353,10.622638852370727,0.7670009522633051,0.6296554384802117,7072.4,0.03540278366089848,10.0
0.3,0.005,1,0.2503462013241207,0.1883123830427596,0.2789951272896945,0.0333848870001178,10.543584758777552,0.7607990867314683,0.6334071707364277,7143.7,0.03825709652773396,10.0
0.3,0.005,2,0.24535406332540927,0.1906069076297336,0.2660302364869706,0.03407098439444766,10.534262002109386,0.7543284961972359,0.6373545095186943,7138.15,0.03777461337566784,10.0
0.3,0.008,1,0.2333317340592002,0.17387739653055329,0.2666972896040758,0.02608878296732236,10.413483669101513,0.7535030944274003,0.6378624392700306,7226.0,0.041453476427987676,10.0
0.3,0.008,2,0.2393265904499363,0.18421760144897964,0.267020393085233,0.02741518359151105,10.508228222613113,0.7564955830321348,0.6360295454329233,7227.45,0.0425876469659353,10.0
0.3,0.013,1,0.2231937506644884,0.17486721368311042,0.24992805973152404,0.021592236844624867,10.15385219880654,0.7366185842690565,0.648275064657611,7347.9,0.04952612160226614,10.0
0.3,0.013,2,0.22356267239180924,0.1743343260878992,0.2504685765895424,0.02232244274070936,10.112738209736115,0.735866476977044,0.648734490370242,7361.35,0.0490987528521654,10.0
0.3,0.02,1,0.2056306389824527,0.1604694950145142,0.23533960284005878,0.01545217995745064,9.981601181132836,0.730730228067543,0.6519232205101935,7431.65,0.05920037947619526,10.0
0.3,0.02,2,0.2013965360060012,0.15809279407882543,0.2288552327424819,0.015845044922553328,10.129293395121522,0.7248706030656147,0.6555663530612993,7450.15,0.05693321701470282,10.0
0.3,0.03,1,0.18468510571606014,0.14742131135310493,0.21137743464806397,0.010571471446987191,9.97580020386349,0.7240741575158085,0.6560591775166746,7516.0,0.07056317407088802,10.0
0.3,0.03,2,0.18981527764516887,0.1487467004922201,0.2203342583580353,0.0105495949457197,10.00060305924632,0.7183090140543027,0.6596553097704023,7514.3,0.06921993448643557,10.0
0.5,0.0005,1,0.1974565319004852,0.08124709270952137,0.3153559182241924,-0.0016899506576863294,15.009826904815261,0.682700078578714,0.6821092216306227,7944.2,0.004869422328445672,10.0
