mu_g,Tgran,seed,Theta,mu,a_c,a_n,a_t
0.17,0.013,2,0.0006758656192215569,0.17034402547057864,0.12755785555138371,0.20569738798143794,0.007432802157797282
0.17,0.02,1,0.0010012609332335331,0.15488438158671694,0.11462015512856943,0.19052132741941744,0.004627281629720057
0.17,0.02,2,0.001016033574011976,0.15255219041154386,0.11821090144735354,0.18201914153654908,0.004874339071651161
0.17,0.03,1,0.001501979775748503,0.1370283485429598,0.10960791896845305,0.1612791740047114,0.0031696022244188937
0.17,0.03,2,0.0015212352392215572,0.13788944395592934,0.11053002274086092,0.1617171683973049,0.0035316933952659105
0.1,0.0005,1,6.973225601497006e-05,0.2196949383803554,0.142407436572171,0.29760723522819177,-0.000624793152872531
0.1,0.0005,2,6.908999010479042e-05,0.3985709325551826,0.4681285863317987,0.32493823306709274,0.004075047236660466
0.1,0.0015,1,0.00010210495500898203,0.18378467775246918,0.13453232494047535,0.2241421042664459,0.008894927227069398
0.1,0.0015,2,0.00010081734948203593,0.18544267137074247,0.13475923879536317,0.2268930073623537,0.009233095364150477
0.1,0.001,1,7.688218264670658e-05,0.192854627763546,0.14355040242044279,0.23205384264149678,0.010105011680242356
0.1,0.001,2,7.819988131736527e-05,0.1911417025930885,0.14301738275465953,0.22890806438402578,0.010357957951101511
0.1,0.003,1,0.0001765913558682635,0.1703183332287188,0.1297195239100591,0.2048339226332255,0.006083224198574759
0.1,0.003,2,0.0001746454298502994,0.1699971731110243,0.12625873047877506,0.2067712982311635,0.0069643179629883265
0.1,0.005,1,0.00027183804086826347,0.15837139101877243,0.11952878415561509,0.19324729407412022,0.00396670440576288
0.1,0.005,2,0.0002751060414970059,0.1567548256630064,0.11733468514758569,0.19156907977546384,0.004605884684146951
0.1,0.008,1,0.00042919816281437124,0.14307886728879932,0.10454941225237313,0.1788971502715343,0.0027111682760058956
0.1,0.008,2,0.00042347931467065866,0.14448187506567228,0.10868945481087108,0.17698815812332447,0.003286139887659084
0.1,0.013,1,0.0006986007981437126,0.13283549533334982,0.10348668001543322,0.16053277387104978,0.0016515384295588498
0.1,0.013,2,0.0006926285192814372,0.13026790190446044,0.10005451405193892,0.1583789349086896,0.0021023573021203006
0.1,0.02,1,0.0010796243508682634,0.1272286443343058,0.10118102492338013,0.15230033206180466,0.0009759306720916536
0.1,0.02,2,0.00108977999748503,0.1268039752340702,0.09748548411620764,0.15459293233632337,0.0015295387634008631
0.1,0.03,1,0.0016920774685628742,0.11847111812672965,0.09900895030043437,0.13697325261929713,0.0009600317368875169
0.1,0.03,2,0.0017063462919161675,0.11666111260083743,0.09456050992685558,0.137440167462737,0.001321546614546869
0.2,0.0005,1,6.0165601020958083e-05,0.4333236781736961,0.5196063388327444,0.3413151697208202,0.005725844193229162
0.2,0.0005,2,5.973239887724551e-05,0.5209225823159674,0.6598421029313373,0.37530972606334234,0.006693323680285499
0.2,0.0015,1,0.0001126411265239521,0.23141330534848636,0.1676681432055098,0.2689718889381461,0.026186578878059964
0.2,0.0015,2,0.00011149186781437125,0.23629242215492458,0.17749645596264707,0.2687786544321959,0.026309732014463627
0.2,0.001,1,8.426790098802395e-05,0.23965532736517728,0.1791169984354991,0.27152553673068824,0.02866811793706596
0.2,0.001,2,8.888886543712574e-05,0.24163587887938187,0.17656044573622945,0.2784548282867295,0.028256478289450354
0.2,0.003,1,0.00019739574437125748,0.22569615516966643,0.16472928903547776,0.26489926507873,0.02176375933433392
0.2,0.003,2,0.0002009178534131736,0.22005642580097268,0.16053868079564246,0.25762272953676413,0.021951441512994867
0.2,0.005,1,0.000299094047994012,0.2114970826918399,0.15553033357685134,0.2501291596500645,0.017334676093707743
0.2,0.005,2,0.00030253405574850296,0.21516611844718192,0.15974008161285097,0.2530261217883618,0.017566034109820453
0.2,0.008,1,0.0004476029678443114,0.19837782654812797,0.14634975508577686,0.2365758559313577,0.013830041185430294
0.2,0.008,2,0.00045186322026946114,0.19981522467738133,0.14916687938532058,0.23641618277122087,0.014047380555491488
