P,mu_g,Tgran,seed,chi
5.0,0.3,0.006500000000000001,1,0.0793785872552016
5.0,0.3,0.006500000000000001,2,0.07815529658779978
5.0,0.3,0.01,1,0.0895023582605922
5.0,0.3,0.01,2,0.08924417996147979
5.0,0.3,0.015,1,0.10237855896429242
5.0,0.3,0.015,2,0.10098566924038548
5.0,0.5,0.00025,1,0.03912252769945817
5.0,0.5,0.00025,2,0.041617430030326676
5.0,0.5,0.00075,1,0.039657312407636244
5.0,0.5,0.00075,2,0.04005373522907968
5.0,0.5,0.0005,1,0.04004545388661284
5.0,0.5,0.0005,2,0.038506777474839486
5.0,0.5,0.0015,1,0.049084916075668526
5.0,0.5,0.0015,2,0.04868124340647844
5.0,0.5,0.0025,1,0.05141484160377856
5.0,0.5,0.0025,2,0.051564077828687306
5.0,0.5,0.004,1,0.05477399386713031
5.0,0.5,0.004,2,0.054460365316143275
5.0,0.5,0.006500000000000001,1,0.05932768519164653
5.0,0.5,0.006500000000000001,2,0.058716206276085946
5.0,0.5,0.01,1,0.06511638043710921
5.0,0.5,0.01,2,0.06442976034657712
5.0,0.5,0.015,1,0.0721060488756153
5.0,0.5,0.015,2,0.07171171304619968
50.0,0.05,0.0025,1,0.09147950861548854
50.0,0.05,0.0025,2,0.09274291665480469
50.0,0.05,0.0075,1,0.10107097657127873
50.0,0.05,0.0075,2,0.10225899058875429
50.0,0.05,0.005,1,0.09577851993887321
50.0,0.05,0.005,2,0.09455587630532752
50.0,0.05,0.015,1,0.1210872111121296
50.0,0.05,0.015,2,0.11979076445890599
50.0,0.05,0.025,1,0.14156694409439294
50.0,0.05,0.025,2,0.1423082232162242
50.0,0.05,0.04,1,0.16843757357460767
50.0,0.05,0.04,2,0.1682433951000209
50.0,0.05,0.065,1,0.19986692409431042
50.0,0.05,0.065,2,0.19970873887717303
50.0,0.05,0.1,1,0.23236563522563228
50.0,0.05,0.1,2,0.2334048254501125
50.0,0.05,0.15,1,0.26594321113493063
50.0,0.05,0.15,2,0.26525504605565237
50.0,0.15,0.0025,1,0.06609889382471049
50.0,0.15,0.0025,2,0.06666730790991716
50.0,0.15,0.0075,1,0.06025665574112814
50.0,0.15,0.0075,2,0.05987738791810045
50.0,0.15,0.005,1,0.06063224610463754
50.0,0.15,0.005,2,0.06121402923625732
50.0,0.15,0.015,1,0.06132162625358487
50.0,0.15,0.015,2,0.06186082237776057
50.0,0.15,0.025,1,0.06649484965369311
50.0,0.15,0.025,2,0.06560597344953148
50.0,0.15,0.04,1,0.07435204388629497
50.0,0.15,0.04,2,0.07329289499748659
50.0,0.15,0.065,1,0.08409516211159865
50.0,0.15,0.065,2,0.08424664151928982
50.0,0.15,0.1,1,0.09935951711539552
50.0,0.15,0.1,2,0.09837660808713436
50.0,0.15,0.15,1,0.11414217175152547
50.0,0.15,0.15,2,0.11437383167505377
50.0,0.1,0.0025,1,0.07365103471229484
50.0,0.1,0.0025,2,0.07356372775304043
50.0,0.1,0.0075,1,0.06977984819198142
50.0,0.1,0.0075,2,0.06909784214351795
50.0,0.1,0.005,1,0.069396113789696
50.0,0.1,0.005,2,0.0688540309533695
50.0,0.1,0.015,1,0.07521311757173287
50.0,0.1,0.015,2,0.0751712054043874
50.0,0.1,0.025,1,0.08554657492479253
50.0,0.1,0.025,2,0.08557972323065133
50.0,0.1,0.04,1,0.09801491905430319
50.0,0.1,0.04,2,0.09692969457333347
50.0,0.1,0.065,1,0.11606464885977387
50.0,0.1,0.065,2,0.11525546776060769
50.0,0.1,0.1,1,0.13727397861710616
50.0,0.1,0.1,2,0.13625604734151547
50.0,0.1,0.15,1,0.15939508747041897
50.0,0.1,0.15,2,0.15944025510300563
50.0,0.2,0.0025,1,0.061169865219018585
50.0,0.2,0.0025,2,0.06327483994109533
50.0,0.2,0.0075,1,0.05381766435929315
50.0,0.2,0.0075,2,0.053817611593097905
50.0,0.2,0.005,1,0.0555835249807834
50.0,0.2,0.005,2,0.05606334741969546
50.0,0.2,0.015,1,0.054763014106536834
50.0,0.2,0.015,2,0.053301933075909184
50.0,0.2,0.025,1,0.056591689251773776
50.0,0.2,0.025,2,0.05597244551605565
50.0,0.2,0.04,1,0.06176255901998976
50.0,0.2,0.04,2,0.06190498796324591
50.0,0.2,0.065,1,0.06969749460893346
50.0,0.2,0.065,2,0.06928813088486682
50.0,0.2,0.1,1,0.07807514757712529
50.0,0.2,0.1,2,0.07894124600442794
50.0,0.2,0.15,1,0.09125584700225954
50.0,0.2,0.15,2,0.0906724767857663
50.0,0.3,0.0025,1,0.055218212042276504
50.0,0.3,0.0025,2,0.054550966921714746
50.0,0.3,0.0075,1,0.04712621441626798
50.0,0.3,0.0075,2,0.046556116169213485
50.0,0.3,0.005,1,0.04966449462549251
50.0,0.3,0.005,2,0.04845126196833263
50.0,0.3,0.015,1,0.046397105321791816
50.0,0.3,0.015,2,0.045831217621250614
50.0,0.3,0.025,1,0.04794292073582972
50.0,0.3,0.025,2,0.0476292017247931
50.0,0.3,0.04,1,0.05000146699095265
50.0,0.3,0.04,2,0.05047731082245245
50.0,0.3,0.065,1,0.05503400211086054
