Tgran,Theta,frac_strong,label,life_all,life_strong,life_weak,mu_g,n_ep_all,n_ep_strong,n_ep_weak,rate_all,rate_path_all,rate_path_strong,rate_path_weak,rate_strong,rate_weak,seed
0.002,0.00027850579999999997,0.18041414025855165,mu0.03_T0.002_s1,0.9696888227891545,2.3827837666455287,0.6586264656616415,0.03,8741,1577,7164,0.011807568356496292,0.021845519818938862,0.01832015529246619,0.022621552741642292,0.0061640183654671455,0.013049874098519315,1
0.002,0.0002869714033333333,0.1879867831012509,mu0.03_T0.002_s2,1.011620250177012,2.3764595103578148,0.6956503415201278,0.03,8474,1593,6881,0.010655821689967902,0.021395396905190933,0.018180938573950887,0.02213956666564224,0.004731937308128024,0.01202724267823573,2
0.002,0.0002860331166666666,0.17493531330858364,mu0.03_T0.002_s3,0.955416807289909,2.388810289389067,0.6514998636487591,0.03,8889,1555,7334,0.01071581889387548,0.021460371224643678,0.017617689201990392,0.02227512041270283,0.004228307787874643,0.012091341087743943,3
0.006,0.00091520076,0.15187517892928715,mu0.03_T0.006_s1,0.5361243916404237,1.6358623939679546,0.3391924050632911,0.03,13972,2122,11850,0.022951261102257127,0.04034292077860007,0.03485247864828256,0.04132610374910925,0.010789143068163571,0.025129152618573288,1
0.006,0.0009736043199999999,0.1508437270726339,mu0.03_T0.006_s2,0.5467131327953044,1.64772373540856,0.3511301192327631,0.03,13630,2056,11574,0.023450411861942015,0.0411710666773392,0.03543341371124652,0.04219030069308886,0.011679692444470719,0.02554135700815949,2
0.006,0.0009842886466666667,0.14888791337430496,mu0.03_T0.006_s3,0.5364332748024583,1.6535233415233412,0.34101693458265275,0.03,13668,2035,11633,0.023559724490177132,0.04132297584144288,0.03599651384504051,0.04225475183754697,0.011480197613606597,0.025672836945590274,3
0.015,0.002526655666666667,0.2726117348019487,mu0.03_T0.015_s1,0.3211528277907223,0.6022902097902099,0.21578771112405357,0.03,18884,5148,13736,0.041526942030178274,0.06776863780794376,0.061601393887009304,0.07008000732636036,0.029462188688838598,0.046048589540459046,1
0.015,0.0026412440666666666,0.2724867724867725,mu0.03_T0.015_s2,0.32413994169096205,0.5977531206657419,0.22165936920222631,0.03,18522,5047,13475,0.04326842640522112,0.06838933491257947,0.06130130003571302,0.07104412615736942,0.031146280037055815,0.04780872122675213,2
0.015,0.0026218919333333337,0.27133642518257906,mu0.03_T0.015_s3,0.32145210299056454,0.6008074656188604,0.21742702465432734,0.03,18759,5090,13669,0.0420709320689057,0.06799570631337543,0.06130693684519192,0.07048643984128924,0.03048421414064626,0.04638554134938272,3
0.0005,0.00014397757999999998,0.24106338239711625,mu0.0_T0.0005_s1,1.3460033042955841,2.397196261682242,1.0121096378389074,0.0,6658,1605,5053,0.008784426423491726,0.015428713744131375,0.013731608835818029,0.015967770418946915,0.005562277592363099,0.009807887510758983,1
0.0005,0.0001579944,0.24878197320341047,mu0.0_T0.0005_s2,1.360404993909866,2.3962178702570376,1.017373327928658,0.0,6568,1634,4934,0.009561507284891628,0.01615284587775588,0.014362030521757914,0.016745912819730074,0.006370418508172098,0.01061830482464836,2
0.0005,0.00015497318333333333,0.24419642857142856,mu0.0_T0.0005_s3,1.3331339285714283,2.3923400365630707,0.9909096278795039,0.0,6720,1641,5079,0.009297547846745243,0.01612095420819836,0.014696357211978912,0.016581234513533293,0.006124216157935018,0.010322835758014704,3
0.002,0.0004047359466666667,0.16775531363400725,mu0.0_T0.002_s1,0.87298600311042,2.3275587144622985,0.5797882147751338,0.0,9645,1618,8027,0.01387847929498811,0.02670433092936345,0.02345148305509117,0.027360006506860966,0.005950405897517896,0.015476538689171091,1
0.002,0.0004273761133333333,0.15581717451523547,mu0.0_T0.002_s2,0.8229610209734863,2.310761904761904,0.5483464197820227,0.0,10108,1575,8533,0.015148236716322233,0.027674977165134066,0.02497393985159211,0.028173527940808334,0.007393740419801622,0.01657954243143063,2
