Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.001,6.938125233333332e-05,3.6118950617283954,3.093161054112078,0.06482111450835301,0.18238679702428573,0.15564254986073664,0.02403672351985064,0.09316105411207828,0.7188143038703888,0.5187340076163172,10.164199493962906,E1.0e6_mu0.1_T0.001_s2,0.1,0.6593292078934402,2
0.001,5.757471233333333e-05,3.6301604938271606,3.0861168876535165,0.05695737314030001,0.19814162484001638,0.16467707914348506,0.055614668985606595,0.08611688765351644,0.7146329493534164,0.544043606173644,10.097331068721113,E1.0e6_mu0.1_T0.001_s3,0.1,0.6619455683785759,3
0.003,0.00016002860666666666,3.6537037037037043,3.1163082970467384,0.04626811815214281,0.1598789426846059,0.1392467743530423,0.04086166211649951,0.1163082970467386,0.7145866874509501,0.537395406656966,9.871290391000835,E1.0e6_mu0.1_T0.003_s1,0.1,0.6619743726729063,1
0.003,0.00015047965,3.6580061728395052,3.1090769368759066,0.05540754555440537,0.16775965849518928,0.14709707470288177,0.0298797121938182,0.10907693687590658,0.6991506125380638,0.5489292359635987,10.085467399213341,E1.0e6_mu0.1_T0.003_s2,0.1,0.6716779483383933,2
0.003,0.00014170332333333336,3.6899567901234565,3.1096058023176654,0.04259202557383936,0.14758793816743535,0.11659762530281503,0.04075132674622824,0.10960580231766541,0.7006658615369632,0.5803509878057911,9.812681211869211,E1.0e6_mu0.1_T0.003_s3,0.1,0.670721990470463,3
0.008,0.00033579737333333336,3.672604938271605,3.1591308516046155,0.03274847110128959,0.11557786653695974,0.09962545854119102,0.02996283813488734,0.15913085160461543,0.7058948098742742,0.5134740866669896,9.821973267966074,E1.0e6_mu0.1_T0.008_s1,0.1,0.6674324164540291,1
0.008,0.00034107700333333335,3.71062962962963,3.153624857889924,0.04135613719068296,0.1274398951043678,0.10711693555990465,0.026601111334553743,0.15362485788992425,0.68630380792587,0.557004771739706,9.94852794104115,E1.0e6_mu0.1_T0.008_s2,0.1,0.6798046538328879,2
0.008,0.0003698204833333333,3.6698209876543206,3.159105702492792,0.03478328565572978,0.09470241121340489,0.0845379218770116,0.013180578993086004,0.15910570249279235,0.6968785843251082,0.5107152851615284,9.850992761433275,E1.0e6_mu0.1_T0.008_s3,0.1,0.6731121978594432,3
0.001,8.382184533333333e-05,3.2135370370370366,3.045820864476366,0.07242313267475377,0.2321441658299982,0.20299249808281222,0.043770795237526396,0.04582086447636596,0.7618120366269898,0.16771617256067062,11.586929308964892,E1.0e6_mu0.3_T0.001_s1,0.3,0.6327690127946828,1
0.001,9.641166333333333e-05,3.180098765432099,3.0470149919645197,0.07389618020174948,0.24545938793866828,0.21559224073592115,0.047593602820311935,0.047014991964519935,0.7782861757946852,0.13308377346757938,11.62438940483151,E1.0e6_mu0.3_T0.001_s2,0.3,0.6227711380869314,2
