mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon
0.1,0.05,2,0.0021543380386227543,0.17519096517157345,0.00035638139293431813,0.02871589204332038,0.029562302625815273,0.3876929539028641,8.289715524035474,0.7464744540224945,0.6421729165080732,11948.1
0.1,0.08,1,0.004017440397305389,0.1674441355583092,0.00025591240409386304,0.028424043968526824,0.02730536327835494,0.4499338478936621,8.480461156199121,0.7510478165292465,0.6393618792367977,11530.8
0.1,0.08,2,0.003997348501497007,0.1766654792294838,0.00037352363559276923,0.029866823041492307,0.02889716146284525,0.44883722805142307,8.55322731287546,0.7511630091283038,0.6392935051168048,11533.2
0.1,0.12,1,0.006766835840419162,0.1653526507642436,0.0004998585424440478,0.029827555448715633,0.025123374773943018,0.4999312312900878,8.901542218810647,0.7554554310846027,0.6366573055606878,11102.9
0.1,0.12,2,0.006825958865568862,0.16521578905217021,0.0005266579679551641,0.030182808258522386,0.02471356867116965,0.49915933449992567,8.90068420391038,0.755095299828924,0.6368795110641238,11059.5
0.2,0.0005,1,3.865121046706587e-05,0.4962563953039938,0.027020195257928026,0.06407751994175923,0.09233454723941378,0.09939259260561976,7.591542540203983,0.8977001391241481,0.5544902564311969,10471.7
0.2,0.0005,2,3.865947356586827e-05,0.47733357744168725,0.022505138105808904,0.06692707795658201,0.0846824017145911,0.11149258796074699,6.655840759632758,0.9127344686551959,0.5455618231448358,10157.3
0.2,0.0015,1,7.956240325149701e-05,0.4577361177031028,0.03188953429710952,0.054965507636198244,0.08698335345695637,0.06602560161512565,9.299536902786334,0.8742627988701713,0.56680260359886,10609.4
0.2,0.0015,2,7.738843576646707e-05,0.45347477695235916,0.03198365744012089,0.057470982979346406,0.08302605472756922,0.06847205769407455,9.409754532257862,0.8690842052990309,0.5697440217194132,10599.7
0.2,0.001,1,5.3163414955089826e-05,0.46627333363607154,0.035994569640640454,0.05835142909031911,0.08507482609243827,0.06619383065463688,9.512943188360328,0.8666712305072053,0.5710981611201122,10551.3
0.2,0.001,2,5.646941875748503e-05,0.4489044623586943,0.03618743816620875,0.05547084594685061,0.08210149424043385,0.06695969649517958,9.561530688975278,0.874306050667057,0.5668001801137541,10517.5
0.2,0.003,1,0.00013689026772455092,0.4297446393317463,0.026549198024158754,0.05355125749680891,0.08084722293735658,0.07219124321401646,9.179529843843612,0.8626905013956152,0.5733278956225514,10828.6
0.2,0.003,2,0.00013838118068862276,0.426614452030243,0.027050647356791985,0.05080041174418357,0.08238752221389994,0.07363771248745402,9.316181113182363,0.8711117107902991,0.5685869423314478,10807.3
0.2,0.005,1,0.000213095884251497,0.40649755323081393,0.021727066373644223,0.05185852774896801,0.07639830082526776,0.08289917355805083,9.101270821398387,0.8536166659226166,0.578512896176041,10995.2
0.2,0.005,2,0.00020962309221556888,0.40053437787312457,0.021511074634417583,0.0515064264249264,0.0748346742031408,0.0809486562045735,9.085706651820995,0.8455632987189622,0.5831247787860578,11034.8
0.2,0.008,1,0.0003069560560179641,0.37794178617088303,0.01614478369375367,0.04889388235980167,0.07170512018646837,0.09616234495236224,8.762025525839118,0.8334445621460655,0.5901237009896049,11251.9
0.2,0.008,2,0.0003025439993413174,0.3731552141313947,0.016353424892860173,0.0481586623206953,0.0707752670521921,0.0950735512125114,8.955183311519104,0.8372002714428005,0.5879521222855679,11268.8
0.2,0.013,1,0.00045330620032934133,0.35313468880171756,0.010502990752299653,0.0479980199218003,0.06621254580191807,0.1146700360071384,8.659916110853867,0.8189957795806887,0.5985613472293186,11502.5
0.2,0.013,2,0.00045772793323353294,0.33760370712518006,0.010781099517517384,0.04440715826656971,0.06453371119128706,0.11511433688708259,8.63605852850812,0.8145698550842921,0.6011530176252919,11493.4
0.2,0.02,1,0.0006454485498502994,0.30196667799471133,0.0065445413931765435,0.041108672096247564,0.057365375009144084,0.14004393532190793,8.549208563490144,0.8003657235036931,0.6095525378438535,11699.8
0.2,0.02,2,0.0006657784126946108,0.30355673975163444,0.006722208146930611,0.041886720168142065,0.05705812421353444,0.1359003172889797,8.59244572645918,0.792666387316673,0.6141461792141771,11659.7
0.2,0.03,1,0.000950585335,0.26973819689722933,0.0038316828187251566,0.03934875023072082,0.04928675426600222,0.1676858737586467,8.438146640686735,0.7761972886920765,0.6240577510854711,11822.3
0.2,0.03,2,0.0009435377967365268,0.26715675650935433,0.003667010976691019,0.03937432865856637,0.04845558484633115,0.16646459370512987,8.451320857852767,0.7713675519342549,0.6269682111146319,11815.6
0.2,0.05,1,0.0016409285326347306,0.23352917790732555,0.002196933742132922,0.0346276494967918,0.04248309857840817,0.2168350892366319,8.33246515050664,0.7610931581134552,0.6332185987249445,11825.7
0.2,0.05,2,0.0016257982910179642,0.2327451426771434,0.001710453126740149,0.03542086945319183,0.0415906928680931,0.21311956554877395,8.38190398123394,0.757250039594861,0.6355593016589683,11820.9
0.2,0.08,1,0.002833843603892216,0.2071103691613827,0.0009863334101863418,0.03388450902381553,0.03482350228639725,0.266595117327803,8.456932717025063,0.7548185380821485,0.6370527195158366,11636.4
0.2,0.08,2,0.0027935366440119762,0.20770860404991964,0.0012561853250130062,0.03381990479481719,0.03499756678655329,0.26327731460473747,8.52558389892911,0.7582797609737167,0.6349365621780199,11647.2
0.2,0.12,1,0.004665834999401198,0.19767035266052194,0.0007214474078584103,0.03464003381293975,0.031009602421278266,0.31193811639450214,8.665417799070118,0.7574556694377133,0.6354543107077274,11296.3
0.2,0.12,2,0.0046831276952095805,0.18904541410590756,0.001362852569672886,0.03269739381906625,0.029863459331150567,0.3145829538344594,8.694393184878075,0.7508228357973054,0.6395066562123056,11316.2
0.3,0.0005,1,0.00010019622325748504,0.5358941807650199,0.0474455342770131,0.06835046071706469,0.09446575531211732,0.08472823655918829,8.529989957438577,0.9168014621269434,0.5435203860149878,9748.3
