mu_g,Tgran,seed,Theta,mu,mu_n,mu_t,A_c,A_n
0.5,0.001,1,9.423064763772455e-05,0.5416100797053266,0.46583209499426437,0.0757779847110623,0.06912582224241151,0.08615154258319062
0.5,0.001,2,9.38484901467066e-05,0.5492125898965311,0.473044142450364,0.07616844744616705,0.06816559679861599,0.08951578322514922
0.5,0.003,1,0.0002241832713772455,0.5374199827566927,0.46548991219114577,0.07193007056554687,0.06789136630609224,0.08727193969664702
0.5,0.003,2,0.00022476381233532938,0.5360839294876353,0.4680404034238385,0.06804352606379681,0.06458574321017056,0.09142772294826336
0.5,0.005,1,0.0003364564707185629,0.5159188984103954,0.45129505041477674,0.06462384799561866,0.06345730430094108,0.08697437815759546
0.5,0.005,2,0.00032654900341317364,0.5287829299300892,0.4659054614442315,0.06287746848585768,0.06434677500979125,0.09095504656174445
0.5,0.008,1,0.0004797452184431138,0.5078831469985463,0.4486471058320695,0.05923604116647676,0.061687887570578845,0.08786114725954353
0.5,0.008,2,0.0004856273584131737,0.5242009351022281,0.46660495195431645,0.0575959831479117,0.06378987564563013,0.09174510571082684
0.5,0.013,1,0.0006658334835029939,0.49270858434589226,0.4400609272625732,0.052647657083319054,0.05902094846010113,0.08766602611179393
0.5,0.013,2,0.0006886923481137724,0.5078461036592853,0.4567740225542711,0.05107208110501421,0.0637147386859444,0.08854326952139456
0.5,0.02,1,0.0009129111452994012,0.46108194395583235,0.4180570759270114,0.04302486802882094,0.058201702330537536,0.08115065785725199
0.5,0.02,2,0.0009048285012574851,0.467212975911208,0.4261129090698546,0.041100066841353325,0.059135777174018994,0.08290186024536168
0.5,0.03,1,0.0012097886314371257,0.43267046356365085,0.40069121926304874,0.031979244300602165,0.05418623081629575,0.07937751049563012
0.5,0.03,2,0.0012334123646706586,0.4416164249755924,0.4091446361151013,0.03247178886049106,0.05768045744203788,0.07870108620462545
0.5,0.05,1,0.001746996334730539,0.38647722657605177,0.36443362309188926,0.022043603484162507,0.05183774944444446,0.06964012468012817
0.5,0.05,2,0.0017829451116766469,0.3723848739196674,0.3527039426546672,0.019680931265000215,0.04872928180505906,0.06883869978255533
0.5,0.08,1,0.002557001652994012,0.3255046177853904,0.3161876341956346,0.00931698358975579,0.046771786268576164,0.05862409244565665
0.5,0.08,2,0.0025904108841317366,0.33071536256169987,0.3187993634059678,0.01191599915573206,0.04731464828023075,0.058951807139446345
0.5,0.12,1,0.003692395051197605,0.2719234724517821,0.2673164381280651,0.004607034323717018,0.04197394205304675,0.04713153719510255
0.5,0.12,2,0.0037253454706586827,0.27250877453475253,0.2661752482552394,0.0063335262795130645,0.043081648282223786,0.045643433823058896
0.6,0.0005,1,6.001038173952096e-05,0.5674231061887317,0.4797452967816431,0.08767780940708857,0.07298328548711427,0.08693181715030437
0.6,0.0005,2,6.0801805170658685e-05,0.5510406088743238,0.470711141992793,0.08032946688153081,0.07048081570172125,0.08642289691871627
0.6,0.0015,1,0.00014530884356287426,0.5434802901430538,0.4587691848742588,0.08471110526879487,0.06754965737625626,0.0853734001768833
0.6,0.0015,2,0.0001426857810778443,0.5622077153547015,0.4796564460685287,0.08255126928617273,0.07020827832797297,0.08967720354665679
0.6,0.001,1,0.00010635561744011975,0.5659780994575948,0.4831351881063639,0.08284291135123087,0.07349955829114967,0.08754550735002797
0.6,0.001,2,0.00010489059966766467,0.5641381415493545,0.48058936166287347,0.08354877988648106,0.07142713483414732,0.08876931815515847
0.6,0.003,1,0.00024966029047904193,0.5524000816508097,0.473809866397614,0.0785902152531957,0.06971546934556681,0.08822115318999854
0.6,0.003,2,0.00025193540673652695,0.5528979158279034,0.4758213163002605,0.07707659952764279,0.07027920177519528,0.08832790552659064
0.6,0.005,1,0.0003748292218263473,0.5344613226025666,0.462311184660084,0.07215013794248268,0.06644561076819772,0.0876581166087224
0.6,0.005,2,0.0003709931941916168,0.5434369068391952,0.4712292625594328,0.07220764427976244,0.06837238954545306,0.08870403114376212
0.6,0.008,1,0.0005282871344011976,0.5320262838734119,0.4634636081623719,0.06856267571103988,0.06570741724525818,0.08878045013481181
0.6,0.008,2,0.0005190366016467066,0.5383523496863835,0.4694691244991426,0.06888322518724097,0.06549371829589398,0.09099598929695196
0.6,0.013,1,0.0007368162583832336,0.5011522919466687,0.4426624405105703,0.05848985143609843,0.061827242544411604,0.08572690349351908
0.6,0.013,2,0.0007641731407185629,0.5065573005972662,0.44514367468966987,0.06141362590759625,0.06175564639076833,0.0866255772659008
0.6,0.02,1,0.0009836679072155689,0.48819660544031285,0.4383325800581923,0.049864025382120564,0.06163114943029063,0.08447970882586481
