P,mu_g,Tgran,seed,mu,a_c,a_n,a_t,Theta
5.0,0.1,0.00075,3,0.2505091591793251,0.2161261006959106,0.27473275111313633,0.003417329335449558,6.631655882142858e-05
5.0,0.1,0.00075,4,0.20262499894917077,0.10957109462079563,0.2876329519652666,0.0022765192399300483,6.504475039285714e-05
5.0,0.1,0.0005,1,0.4035307545840496,0.46353067751175736,0.3299615995779633,0.006240164663202143,6.805221314285714e-05
5.0,0.1,0.0005,2,0.19905046076975852,0.12202009791821124,0.26698568340749024,0.0022146503032169813,7.092983792857143e-05
5.0,0.1,0.0005,3,0.25734264232357534,0.1875432870889338,0.32161175434994904,0.0011981464177628122,6.913251671428571e-05
5.0,0.1,0.0005,4,0.1709995780222322,0.07995675699692577,0.257675412711399,0.000636435368803731,7.789176157142858e-05
5.0,0.1,0.0015,1,0.15631509977540767,0.10599872925271987,0.1972729654017672,0.0062415587920931674,8.365857714285715e-05
5.0,0.1,0.0015,2,0.15338696898656407,0.1077537738633822,0.188433145817495,0.0058843917338959615,8.711982203571428e-05
5.0,0.1,0.0015,3,0.16141512353085227,0.11354682635144082,0.19785350837741927,0.006118514460156501,8.503623142857145e-05
5.0,0.1,0.0015,4,0.1586288200431289,0.11231769996896691,0.19535689143007257,0.0062977494837840355,8.259960907142857e-05
5.0,0.1,0.0025,1,0.15143889122848575,0.11153044965381594,0.18335375312315294,0.004278141063160182,0.00012571845964285715
5.0,0.1,0.0025,2,0.14599662152191964,0.10637232223146648,0.17556537498994507,0.0041053064279468,0.00013095510714285715
5.0,0.1,0.0025,3,0.14253286755493433,0.10540284945422518,0.1697914368680921,0.0044799876756688745,0.00013310050392857143
5.0,0.1,0.0025,4,0.1382676835702817,0.09450551547958369,0.17399838469828766,0.004375674878760004,0.00012972171678571432
5.0,0.1,0.006500000000000001,1,0.12596740695793848,0.09683099844878408,0.15090368745692262,0.0011582977236544295,0.00031798721357142854
5.0,0.1,0.006500000000000001,2,0.10814243981072305,0.07423374589492507,0.1360521296822731,0.002168983802325235,0.0003176065846428572
5.0,0.1,0.006500000000000001,3,0.1240570327405731,0.09323886881282312,0.14758569345169914,0.0017193095165153416,0.0003185531017857142
5.0,0.1,0.006500000000000001,4,0.11598444838457232,0.08752073610575317,0.14072738191855103,0.001967593969253923,0.00033194348678571435
5.0,0.1,0.015,1,0.11225113295606122,0.09297171107889454,0.12678613473651495,0.001020146743820242,0.0008057455207142858
5.0,0.1,0.015,2,0.11140226033936657,0.08842134470097367,0.13075409096203489,0.0008415033759501053,0.0007817839346428571
5.0,0.1,0.015,3,0.10676435163252598,0.08783736399560083,0.12131708079608426,0.001291531371908241,0.0007911115446428571
5.0,0.1,0.015,4,0.09980850757222089,0.08579646541178372,0.1087218196590361,0.0012802277733467303,0.0008161963521428571
5.0,0.1,0.03,1,0.09172176804550841,0.08374313521996694,0.0962327043822792,0.0008573853312328144,0.0018000981642857146
5.0,0.1,0.03,2,0.0895261827461413,0.08599941155920006,0.09000991176080281,0.0005620713997159078,0.0018309446964285716
5.0,0.1,0.03,3,0.09544230717153351,0.08570513055136714,0.10162886174896067,0.0008425464981526101,0.0017866081142857144
5.0,0.1,0.03,4,0.09172511581553675,0.08009330855129966,0.09419297858535106,0.0014037020204252955,0.0018720748785714285
5.0,0.1,0.06,1,0.08596345000957804,0.09095386606994647,0.07761104708906799,0.00036141250957223725,0.004261173353571428
5.0,0.1,0.06,2,0.0804177639271478,0.0908998608025785,0.06638159469549133,0.0006806399375799068,0.004220657967857143
5.0,0.1,0.06,3,0.10217730631992245,0.10491249313655922,0.09569305496462584,0.0006368724800121044,0.0042388377428571435
5.0,0.1,0.06,4,0.07670154359511878,0.08105101951951318,0.06971309133568161,0.0004096454353602691,0.004291640710714286
5.0,0.1,0.125,1,0.06970609616940844,0.07879447728069447,0.056904810306052184,0.00042935431369178285,0.010797384821428571
5.0,0.1,0.125,2,0.07216102794124163,0.08114988775589653,0.05646251611088439,0.0003711985613091273,0.010714280499999998
5.0,0.1,0.125,3,0.0805335654236937,0.09832986277730126,0.06082231254627424,0.000633097019337778,0.010637300214285715
5.0,0.1,0.125,4,0.08070924216001835,0.10609650758999092,0.051852349244778106,0.0008805924635145615,0.010789605357142854
5.0,0.2,0.00075,1,0.30164515302642836,0.2865198683529402,0.30583428393289086,0.00456083713848069,6.147012517857143e-05
5.0,0.2,0.00075,2,0.31383302389011736,0.24863306048062112,0.3712704308954469,0.0014769274407917061,5.7371518250000006e-05
5.0,0.2,0.00075,3,0.3381894912110105,0.32929355547647843,0.3321465787546174,0.006640504507107013,5.9297675321428585e-05
5.0,0.2,0.00075,4,0.3249377421107217,0.3439130846415785,0.2958991229688908,0.0028322940377583945,5.509805346428572e-05
5.0,0.2,0.0005,1,0.32815961588383996,0.2687754270416064,0.37195300744314497,0.005778246748554002,5.860651210714286e-05
5.0,0.2,0.0005,2,0.3886304076297303,0.4667419776127296,0.2980186499234703,0.0065975453497003535,6.369002682142856e-05
5.0,0.2,0.0005,3,0.39696932828599774,0.512053120605431,0.2619542697399851,0.009646196395985383,6.152757399999999e-05
5.0,0.2,0.0005,4,0.38654337633711106,0.4496734753085844,0.30794326703345803,0.006497264683789159,6.42825435e-05
5.0,0.2,0.0015,1,0.2148453105666758,0.14801161910024935,0.25437000962432044,0.02116385947190212,9.380697257142859e-05
5.0,0.2,0.0015,2,0.20219955292032138,0.13937262456852617,0.2382631710329885,0.020802023377170818,9.27673505357143e-05
5.0,0.2,0.0015,3,0.2092299079618952,0.1431249146158995,0.2487265236901767,0.020601109340910376,9.927798128571428e-05
5.0,0.2,0.0015,4,0.20777089570627577,0.1443128407925381,0.24569054363455634,0.019394894989769176,9.581501107142857e-05
5.0,0.2,0.0025,1,0.2021426414816653,0.1494375744353511,0.23439528593920114,0.01726644201428993,0.00014165482678571428
5.0,0.2,0.0025,2,0.1905041174114337,0.1315563165126632,0.22687079228188983,0.015880432502517413,0.00014056887035714287
5.0,0.2,0.0025,3,0.2058344838648003,0.14285896420162525,0.24423439787032553,0.01755562557365614,0.00014154441142857145
5.0,0.2,0.0025,4,0.19278380826966096,0.1319328972959104,0.23296795697257602,0.016480665286338955,0.0001423701642857143
5.0,0.2,0.006500000000000001,1,0.16159071972451938,0.1287675468598875,0.18013304376576705,0.007399745060602524,0.0003227450789285714
5.0,0.2,0.006500000000000001,2,0.15705479941420955,0.11742192305098362,0.18461300924585328,0.008188944065748098,0.00032187570249999996
5.0,0.2,0.006500000000000001,3,0.16249026234421662,0.11789851696825854,0.1919506074883498,0.007542105117780394,0.0003231017671428571
5.0,0.2,0.006500000000000001,4,0.15899849146824,0.11726266807607505,0.18563024488893748,0.008646165943885484,0.00032394802000000004
5.0,0.2,0.015,1,0.13745274994885337,0.1129123027335242,0.15343032128843717,0.003314017083640448,0.0007012869992857144
5.0,0.2,0.015,2,0.13034051685084622,0.10724058137035819,0.14447432888408926,0.0032153080925662325,0.0007121365078571429
5.0,0.2,0.015,3,0.12235635543575236,0.09226123253077391,0.145856424097781,0.0027775972608165803,0.00070945899
5.0,0.2,0.015,4,0.1376052409091168,0.11029666235343273,0.1545598988031523,0.004677055457183912,0.0007086710860714286
5.0,0.2,0.03,1,0.11602693844857183,0.10721924487803186,0.11779986166212386,0.0022151742155019014,0.0014683161714285715
5.0,0.2,0.03,2,0.11942087438068533,0.105613573198829,0.12606930644287362,0.002067752283269728,0.0014847800714285712
5.0,0.2,0.03,3,0.10775661455531178,0.08610379380437518,0.12352692462905887,0.0021107519582260854,0.0014788999892857144
5.0,0.2,0.03,4,0.10649164466386901,0.08974831652336962,0.11763151213412575,0.0008327017234327365,0.0014857091321428572
5.0,0.2,0.06,1,0.09087800662700497,0.08909143553561742,0.08569674905826026,0.0010136674164998574,0.0033682217000000005
5.0,0.2,0.06,2,0.09627040207054473,0.08948103752246814,0.09401179236683849,0.0023905388801401632,0.003380990260714286
