mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.05,0.013,3,0.09497613451851855,0.0008528481492592592,0.07216975688275594,0.11783835618909792,-5.5844034816759924e-05
0.05,0.02,1,0.08966393240740739,0.001406239683333333,0.06861749000161026,0.10443228653542369,0.006278088277780827
0.05,0.02,2,0.09898583911111108,0.0013804839925925924,0.07201645273088728,0.12391278579384049,0.0020424396974944026
0.05,0.02,3,0.09720168140740741,0.0014218149574074075,0.07185936634955238,0.12110576141114118,0.001438235054121259
0.05,0.03,1,0.08344845298148149,0.0022544847222222223,0.0706825629029153,0.10064032332834497,-0.004425980268297297
0.05,0.03,2,0.10593536722222224,0.0022768397851851852,0.0842773918195738,0.12958082840119076,-0.001987485776320075
0.05,0.03,3,0.09380469851851855,0.0022382064666666666,0.07535427335520066,0.10766584137619499,0.004589282305641457
0.06,0.0015,1,0.1430794764814815,0.0001045810411111111,0.10032618298363354,0.17664194182681012,0.009190828152519342
0.06,0.0015,2,0.14704841055555556,0.00011227360994444444,0.10237057040412792,0.1847296532858534,0.006996597421129819
0.06,0.0015,3,0.14482053148148147,0.00010451524625925924,0.09398963109307565,0.1844290309939267,0.011222400875960575
0.06,0.0015,4,0.16741756055555554,9.74252266111111e-05,0.12122872953773993,0.21035980861653175,0.0032465829568393834
0.06,0.0015,5,0.14758921074074074,0.00010135263366666669,0.10837884765628533,0.18451626737460672,0.0022833064505894396
0.06,0.001,1,0.15765495518518524,8.187682433333331e-05,0.1123236576129238,0.19559542940342306,0.0073908233540236346
0.06,0.001,2,0.15642023037037037,7.931558283333334e-05,0.10378636808191377,0.19973608977100762,0.009318002887819338
0.06,0.001,3,0.1497638475925926,8.182940455555556e-05,0.10925944152518985,0.17727064390789035,0.012997609752104983
0.06,0.001,4,0.1611093072222222,7.452775105555554e-05,0.11145750102446317,0.20728235208519066,0.0034787613347905533
0.06,0.001,5,0.14766416870370375,7.742886025925927e-05,0.10704885233839449,0.18440445959662205,0.003875025472390936
0.06,0.003,1,0.13862392870370369,0.00019177805685185185,0.09111921129058394,0.1791037281241933,0.007024917992630136
0.06,0.003,2,0.1360548261111111,0.00018421287685185185,0.09605166457455465,0.17096507021528776,0.005092917432379801
0.06,0.003,3,0.12692408705555558,0.00019060549518518517,0.09290864107602645,0.15203659299032146,0.008902940044763247
