mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon,E
0.3,0.05,2,0.002175043854477612,0.3082524143049416,0.01150787787714246,0.03257424917125435,0.06634059703612545,0.10484630799161546,7.2802925484676395,0.7995561248222571,0.610052497221482,13217.25,10000.0
0.3,0.08,1,0.003363239201492537,0.24553932096994543,0.006470297127540698,0.028210873632845704,0.05147879777990432,0.13201377761687733,7.131371033092213,0.767420807513257,0.629364122376084,13546.0,10000.0
0.3,0.08,2,0.0033852511940298505,0.26391471697525054,0.0059374705005784045,0.030868172858449314,0.05512424242620481,0.13094829589181717,7.194072206289626,0.7702082776613377,0.6276673532564806,13505.25,10000.0
0.3,0.12,1,0.005091874820895522,0.21608892017109405,0.004067415724894155,0.02692426892530246,0.043749567265092715,0.16435734416763112,7.057022777225334,0.7547070737624474,0.6371164513725243,13620.0,10000.0
0.3,0.12,2,0.005127111302238805,0.2256776153973342,0.0023535383302516564,0.028611010677987506,0.04583034693122366,0.16434971936857243,7.0154153396525585,0.7537890895312414,0.6376810040421382,13689.75,10000.0
1.0,0.0005,1,4.7639129492537314e-05,0.7948702854824955,0.007217517312218384,0.19954651737484802,0.06300440284631499,0.018425540273899546,6.211057240710051,0.90185699088347,0.5515463784586683,8770.0,10000.0
1.0,0.0005,2,5.460364333582089e-05,0.5157826791437184,0.01053291594248876,0.07871051644740623,0.08970607428642469,0.007815948839213946,8.080360050459808,0.8385272191803382,0.587941560004485,11871.0,10000.0
1.0,0.0015,1,0.0001723813144776119,0.5878049272022611,0.14525408233576953,0.057079512487036105,0.09043743418726163,0.016051433032447465,11.099432100057799,0.8684003786067986,0.5700901773592763,9313.0,10000.0
1.0,0.0015,2,0.0001770759410447761,0.5909396279168588,0.1355206506829601,0.05809565887294246,0.09371066612767107,0.015867304357107287,10.963317938408235,0.8746368084202417,0.5666102885106066,9388.0,10000.0
1.0,0.001,1,0.00012164631776119405,0.5951526331091498,0.14812698597534785,0.05916892398136817,0.08983962810741425,0.01712719179762187,10.99110052380406,0.8687994239551737,0.5698694190596737,9282.75,10000.0
1.0,0.001,2,0.00012262714097014925,0.6107768024292186,0.14678038291620238,0.0620905451077456,0.09257492932541359,0.0165703300566239,11.056490177523855,0.8537539026016017,0.5784087975694067,9275.0,10000.0
1.0,0.003,1,0.00030924692858208953,0.5723831477546911,0.13556560100026163,0.05687714989300594,0.08872870166407514,0.018158393165307884,11.070688806856216,0.8757009044501903,0.5659795576309539,9444.75,10000.0
1.0,0.003,2,0.0003074886364925373,0.5914604565638365,0.13535458869100253,0.06107187683590445,0.09096341375068005,0.016739890645978472,10.93916457509301,0.8697355451984393,0.5693445576328665,9438.75,10000.0
1.0,0.005,1,0.000488968216641791,0.561811420996677,0.12899907549619638,0.05419630114418486,0.09007448005391383,0.02043429479594539,10.593049295979174,0.874828792295079,0.5664686819511735,9554.75,10000.0
1.0,0.005,2,0.000503046656716418,0.5669665410026865,0.12537984558923693,0.05556343995735733,0.09163212744933655,0.021638772031529984,10.721318013857518,0.8859772362997447,0.5602465575619722,9474.25,10000.0
1.0,0.008,1,0.0007145368239552238,0.5732218152817169,0.13240123848611546,0.055196665798309466,0.09174352281667994,0.02352363290040821,10.477347714614423,0.8919460603735159,0.5569600704918957,9725.5,10000.0
1.0,0.008,2,0.0007261121026865672,0.5554050112730209,0.12240141368782878,0.05167044541622943,0.09266408690568097,0.024232747777236774,10.545593187176856,0.9003109228807377,0.5523225624105047,9686.75,10000.0
1.0,0.013,1,0.0010685698059701495,0.5621033295302384,0.12188886845833351,0.05441859540932121,0.09231956001167632,0.027738484920335586,10.181288398167075,0.9149879036374992,0.5443640184975471,9876.5,10000.0
1.0,0.013,2,0.0011109647343283582,0.5718117565129321,0.12100861008896004,0.055404652466964646,0.09486306057688815,0.027036449110047097,10.284833317988006,0.9080315544579409,0.5481439278863238,9819.25,10000.0
